id,url,location_title
63,https://www.radioreference.com/db/browse/ctid/63/ham,"Tuscaloosa County, Alabama (AL) Amateur Radio"
64,https://www.radioreference.com/db/browse/ctid/64/ham,"Walker County, Alabama (AL) Amateur Radio"
65,https://www.radioreference.com/db/browse/ctid/65/ham,"Washington County, Alabama (AL) Amateur Radio"
66,https://www.radioreference.com/db/browse/ctid/66/ham,"Wilcox County, Alabama (AL) Amateur Radio"
67,https://www.radioreference.com/db/browse/ctid/67/ham,"Winston County, Alabama (AL) Amateur Radio"
68,https://www.radioreference.com/db/browse/ctid/68/ham,"Aleutians West County, Alaska (AK) Amateur Radio"
69,https://www.radioreference.com/db/browse/ctid/69/ham,"Aleutians East County, Alaska (AK) Amateur Radio"
70,https://www.radioreference.com/db/browse/ctid/70/ham,"Anchorage County, Alaska (AK) Amateur Radio"
71,https://www.radioreference.com/db/browse/ctid/71/ham,"Bethel County, Alaska (AK) Amateur Radio"
72,https://www.radioreference.com/db/browse/ctid/72/ham,"Bristol Bay County, Alaska (AK) Amateur Radio"
73,https://www.radioreference.com/db/browse/ctid/73/ham,"Dillingham County, Alaska (AK) Amateur Radio"
74,https://www.radioreference.com/db/browse/ctid/74/ham,"Fairbanks North Star County, Alaska (AK) Amateur Radio"
75,https://www.radioreference.com/db/browse/ctid/75/ham,"Haines County, Alaska (AK) Amateur Radio"
76,https://www.radioreference.com/db/browse/ctid/76/ham,"Juneau County, Alaska (AK) Amateur Radio"
77,https://www.radioreference.com/db/browse/ctid/77/ham,"Kenai Peninsula County, Alaska (AK) Amateur Radio"
78,https://www.radioreference.com/db/browse/ctid/78/ham,"Ketchikan Gateway County, Alaska (AK) Amateur Radio"
79,https://www.radioreference.com/db/browse/ctid/79/ham,"Lake and Peninsula County, Alaska (AK) Amateur Radio"
80,https://www.radioreference.com/db/browse/ctid/80/ham,"Kodiak Island County, Alaska (AK) Amateur Radio"
81,https://www.radioreference.com/db/browse/ctid/81/ham,"Matanuska-Susitna County, Alaska (AK) Amateur Radio"
82,https://www.radioreference.com/db/browse/ctid/82/ham,"Nome County, Alaska (AK) Amateur Radio"
83,https://www.radioreference.com/db/browse/ctid/83/ham,"North Slope County, Alaska (AK) Amateur Radio"
84,https://www.radioreference.com/db/browse/ctid/84/ham,"Northwest Arctic County, Alaska (AK) Amateur Radio"
85,https://www.radioreference.com/db/browse/ctid/85/ham,"Prince of Wales-Outer Ketchikan County, Alaska (AK) Amateur Radio"
86,https://www.radioreference.com/db/browse/ctid/86/ham,"Sitka County, Alaska (AK) Amateur Radio"
87,https://www.radioreference.com/db/browse/ctid/87/ham,"Skagway-Yakutat-Angoon County, Alaska (AK) Amateur Radio"
88,https://www.radioreference.com/db/browse/ctid/88/ham,"Southeast Fairbanks County, Alaska (AK) Amateur Radio"
89,https://www.radioreference.com/db/browse/ctid/89/ham,"Valdez-Cordova County, Alaska (AK) Amateur Radio"
90,https://www.radioreference.com/db/browse/ctid/90/ham,"Wade Hampton County, Alaska (AK) Amateur Radio"
91,https://www.radioreference.com/db/browse/ctid/91/ham,"Wrangell-Petersburg County, Alaska (AK) Amateur Radio"
92,https://www.radioreference.com/db/browse/ctid/92/ham,"Yukon-Koyukuk County, Alaska (AK) Amateur Radio"
93,https://www.radioreference.com/db/browse/ctid/93/ham,"Apache County, Arizona (AZ) Amateur Radio"
94,https://www.radioreference.com/db/browse/ctid/94/ham,"Cochise County, Arizona (AZ) Amateur Radio"
95,https://www.radioreference.com/db/browse/ctid/95/ham,"Coconino County, Arizona (AZ) Amateur Radio"
96,https://www.radioreference.com/db/browse/ctid/96/ham,"Gila County, Arizona (AZ) Amateur Radio"
97,https://www.radioreference.com/db/browse/ctid/97/ham,"Graham County, Arizona (AZ) Amateur Radio"
98,https://www.radioreference.com/db/browse/ctid/98/ham,"Greenlee County, Arizona (AZ) Amateur Radio"
99,https://www.radioreference.com/db/browse/ctid/99/ham,"La Paz County, Arizona (AZ) Amateur Radio"
100,https://www.radioreference.com/db/browse/ctid/100/ham,"Maricopa County, Arizona (AZ) Amateur Radio"
101,https://www.radioreference.com/db/browse/ctid/101/ham,"Mohave County, Arizona (AZ) Amateur Radio"
102,https://www.radioreference.com/db/browse/ctid/102/ham,"Navajo County, Arizona (AZ) Amateur Radio"
103,https://www.radioreference.com/db/browse/ctid/103/ham,"Pima County, Arizona (AZ) Amateur Radio"
104,https://www.radioreference.com/db/browse/ctid/104/ham,"Pinal County, Arizona (AZ) Amateur Radio"
105,https://www.radioreference.com/db/browse/ctid/105/ham,"Santa Cruz County, Arizona (AZ) Amateur Radio"
106,https://www.radioreference.com/db/browse/ctid/106/ham,"Yavapai County, Arizona (AZ) Amateur Radio"
107,https://www.radioreference.com/db/browse/ctid/107/ham,"Yuma County, Arizona (AZ) Amateur Radio"
108,https://www.radioreference.com/db/browse/ctid/108/ham,"Arkansas County, Arkansas (AR) Amateur Radio"
109,https://www.radioreference.com/db/browse/ctid/109/ham,"Ashley County, Arkansas (AR) Amateur Radio"
110,https://www.radioreference.com/db/browse/ctid/110/ham,"Baxter County, Arkansas (AR) Amateur Radio"
111,https://www.radioreference.com/db/browse/ctid/111/ham,"Benton County, Arkansas (AR) Amateur Radio"
112,https://www.radioreference.com/db/browse/ctid/112/ham,"Boone County, Arkansas (AR) Amateur Radio"
113,https://www.radioreference.com/db/browse/ctid/113/ham,"Bradley County, Arkansas (AR) Amateur Radio"
114,https://www.radioreference.com/db/browse/ctid/114/ham,"Calhoun County, Arkansas (AR) Amateur Radio"
115,https://www.radioreference.com/db/browse/ctid/115/ham,"Carroll County, Arkansas (AR) Amateur Radio"
116,https://www.radioreference.com/db/browse/ctid/116/ham,"Chicot County, Arkansas (AR) Amateur Radio"
117,https://www.radioreference.com/db/browse/ctid/117/ham,"Clark County, Arkansas (AR) Amateur Radio"
118,https://www.radioreference.com/db/browse/ctid/118/ham,"Clay County, Arkansas (AR) Amateur Radio"
119,https://www.radioreference.com/db/browse/ctid/119/ham,"Cleburne County, Arkansas (AR) Amateur Radio"
120,https://www.radioreference.com/db/browse/ctid/120/ham,"Cleveland County, Arkansas (AR) Amateur Radio"
121,https://www.radioreference.com/db/browse/ctid/121/ham,"Columbia County, Arkansas (AR) Amateur Radio"
122,https://www.radioreference.com/db/browse/ctid/122/ham,"Conway County, Arkansas (AR) Amateur Radio"
123,https://www.radioreference.com/db/browse/ctid/123/ham,"Craighead County, Arkansas (AR) Amateur Radio"
124,https://www.radioreference.com/db/browse/ctid/124/ham,"Crawford County, Arkansas (AR) Amateur Radio"
125,https://www.radioreference.com/db/browse/ctid/125/ham,"Crittenden County, Arkansas (AR) Amateur Radio"
126,https://www.radioreference.com/db/browse/ctid/126/ham,"Cross County, Arkansas (AR) Amateur Radio"
127,https://www.radioreference.com/db/browse/ctid/127/ham,"Dallas County, Arkansas (AR) Amateur Radio"
128,https://www.radioreference.com/db/browse/ctid/128/ham,"Desha County, Arkansas (AR) Amateur Radio"
129,https://www.radioreference.com/db/browse/ctid/129/ham,"Drew County, Arkansas (AR) Amateur Radio"
130,https://www.radioreference.com/db/browse/ctid/130/ham,"Faulkner County, Arkansas (AR) Amateur Radio"
131,https://www.radioreference.com/db/browse/ctid/131/ham,"Franklin County, Arkansas (AR) Amateur Radio"
